"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"D1,D2,D5,D6","4","1N4743A","","","","motorsports:D_DO-41_SOD81_P3.81mm_Vertical_AnodeUp","~"
"D3,D7","2","1N4001","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D4,D8","2","LED (Test)","","","","LED_THT:LED_D3.0mm","~"
"J2","1","B12B-PH-K-S","","","","Connector_JST:JST_PH_B12B-PH-K_1x12_P2.00mm_Vertical","B12B-PH-K-S"
"K1,K2,K3,K4,K5,K6","6","A161CS12VDC.64","","","","motorsports:RELAY_A161CS12VDC.64",""
"R1,R2","2","680","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R3,R4","2","2.2k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"SW1,SW2","2","Test Reset IMD","","","","motorsports:pushButton","~"
